location,date,people_vaccinated_per_hundred
Georgia,1/13/22,37.65
Ukraine,1/13/22,37.63
Guatemala,1/13/22,37.51
Saint Lucia,1/13/22,31.3
Eswatini,1/13/22,28.76
Zimbabwe,1/13/22,25.69
Ghana,1/13/22,18.18
Africa,1/13/22,14.41
Afghanistan,1/13/22,10.71
Low income,1/13/22,8.28
Malawi,1/13/22,7.35
Burkina Faso,1/13/22,5.16
Democratic Republic of Congo,1/13/22,0.31
Burundi,1/13/22,0.05
Gibraltar,1/12/22,126.18
Cuba,1/12/22,93.75
Chile,1/12/22,89.05
Singapore,1/12/22,87.91
Argentina,1/12/22,86.89
South Korea,1/12/22,85.95
Cambodia,1/12/22,85.26
Malta,1/12/22,85
Spain,1/12/22,84.61
Italy,1/12/22,83.31
Canada,1/12/22,83.14
Bahrain,1/12/22,82.1
Japan,1/12/22,81.72
Isle of Man,1/12/22,81.59
Denmark,1/12/22,81.28
Uruguay,1/12/22,81.22
Scotland,1/12/22,80.42
Ecuador,1/12/22,80.19
Aruba,1/12/22,80
Ireland,1/12/22,79.22
Norway,1/12/22,79.21
Australia,1/12/22,79.13
France,1/12/22,79.13
Wales,1/12/22,78.84
Taiwan,1/12/22,78.74
Upper middle income,1/12/22,77.64
Brazil,1/12/22,77.46
England,1/12/22,77.33
Belgium,1/12/22,77.13
United Kingdom,1/12/22,77.07
New Zealand,1/12/22,76.8
Malaysia,1/12/22,76.78
South America,1/12/22,76.46
Germany,1/12/22,75.84
Maldives,1/12/22,75.82
High income,1/12/22,75.61
Austria,1/12/22,75.54
Colombia,1/12/22,75.2
United States,1/12/22,74.65
Northern Ireland,1/12/22,74.26
Jersey,1/12/22,73.89
Peru,1/12/22,73.84
Greece,1/12/22,72.96
Cyprus,1/12/22,72.8
Luxembourg,1/12/22,72.63
European Union,1/12/22,72.61
Thailand,1/12/22,72.2
Nicaragua,1/12/22,71.9
Macao,1/12/22,71.59
Latvia,1/12/22,71.58
Israel,1/12/22,70.58
Lithuania,1/12/22,70.24
Saudi Arabia,1/12/22,69.12
Switzerland,1/12/22,68.73
North America,1/12/22,68.44
Asia,1/12/22,68.02
Hong Kong,1/12/22,67.69
Liechtenstein,1/12/22,67.15
Turkey,1/12/22,67
Mongolia,1/12/22,66.72
Europe,1/12/22,66.15
Morocco,1/12/22,65.94
Czechia,1/12/22,65.57
Estonia,1/12/22,63.94
India,1/12/22,63.42
Hungary,1/12/22,63.2
Indonesia,1/12/22,62.49
Dominican Republic,1/12/22,61.99
Slovenia,1/12/22,59.22
Oceania,1/12/22,59.1
World,1/12/22,58.69
Saint Kitts and Nevis,1/12/22,58.26
Tunisia,1/12/22,56.8
Croatia,1/12/22,56.45
Barbados,1/12/22,55.76
Curacao,1/12/22,55.14
Poland,1/12/22,55.06
Bolivia,1/12/22,51.55
Russia,1/12/22,51.48
Azerbaijan,1/12/22,50.11
Lower middle income,1/12/22,49.91
Bangladesh,1/12/22,47.93
Trinidad and Tobago,1/12/22,47.29
Kazakhstan,1/12/22,46.53
Montenegro,1/12/22,45.47
Lebanon,1/12/22,43.41
Pakistan,1/12/22,42.74
Suriname,1/12/22,42.56
Dominica,1/12/22,42.49
Bahamas,1/12/22,38.77
Ukraine,1/12/22,37.55
Georgia,1/12/22,37.51
Guatemala,1/12/22,37.42
Libya,1/12/22,28.57
Jamaica,1/12/22,25.72
Zimbabwe,1/12/22,25.63
Angola,1/12/22,22.98
Iraq,1/12/22,19.78
Kyrgyzstan,1/12/22,18.98
Guinea-Bissau,1/12/22,18.6
Africa,1/12/22,14.38
Low income,1/12/22,8.26
Ethiopia,1/12/22,7.59
Nigeria,1/12/22,5.52
Gibraltar,1/11/22,126.14
Cuba,1/11/22,93.68
Chile,1/11/22,88.97
Singapore,1/11/22,87.83
Argentina,1/11/22,86.74
South Korea,1/11/22,85.92
Guernsey,1/11/22,85.5
Cambodia,1/11/22,85.24
Malta,1/11/22,84.8
Spain,1/11/22,84.49
Italy,1/11/22,83.18
Canada,1/11/22,83.08
Bahrain,1/11/22,82.07
Japan,1/11/22,81.71
Isle of Man,1/11/22,81.59
Denmark,1/11/22,81.25
Uruguay,1/11/22,80.85
Scotland,1/11/22,80.4
Ecuador,1/11/22,80.01
Aruba,1/11/22,79.94
Vietnam,1/11/22,79.86
Norway,1/11/22,79.17
Ireland,1/11/22,79.07
France,1/11/22,79.04
Australia,1/11/22,78.86
Wales,1/11/22,78.81
Iceland,1/11/22,78.3
Faeroe Islands,1/11/22,78.18
Upper middle income,1/11/22,77.62
Brazil,1/11/22,77.45
England,1/11/22,77.3
United Kingdom,1/11/22,77.04
Belgium,1/11/22,77
Malaysia,1/11/22,76.78
New Zealand,1/11/22,76.77
South America,1/11/22,76.4
Germany,1/11/22,75.76
High income,1/11/22,75.53
Austria,1/11/22,75.47
Colombia,1/11/22,75.03
United States,1/11/22,74.55
Northern Ireland,1/11/22,74.23
Peru,1/11/22,73.77
Sri Lanka,1/11/22,73.38
Greece,1/11/22,72.85
European Union,1/11/22,72.53
Luxembourg,1/11/22,72.52
Thailand,1/11/22,72.13
Macao,1/11/22,71.53
Latvia,1/11/22,71.52
Fiji,1/11/22,71.37
Israel,1/11/22,70.5
Lithuania,1/11/22,70.2
Tonga,1/11/22,69.2
Saudi Arabia,1/11/22,69.08
Switzerland,1/11/22,68.66
North America,1/11/22,68.36
Asia,1/11/22,67.84
Hong Kong,1/11/22,67.44
Liechtenstein,1/11/22,67.11
Turkey,1/11/22,66.97
Mongolia,1/11/22,66.71
Europe,1/11/22,66.08
Czechia,1/11/22,65.51
Mexico,1/11/22,64.69
Estonia,1/11/22,63.89
Samoa,1/11/22,63.73
New Caledonia,1/11/22,63.47
India,1/11/22,63.21
Hungary,1/11/22,63.18
Indonesia,1/11/22,62.09
Dominican Republic,1/11/22,61.97
Slovenia,1/11/22,59.19
Oceania,1/11/22,58.94
World,1/11/22,58.56
Tunisia,1/11/22,56.75
Croatia,1/11/22,56.39
Curacao,1/11/22,55.1
Poland,1/11/22,54.98
Kiribati,1/11/22,54.22
Wallis and Futuna,1/11/22,52.86
Russia,1/11/22,51.39
Bolivia,1/11/22,51.22
Azerbaijan,1/11/22,50.08
Timor,1/11/22,49.75
Kosovo,1/11/22,49.68
Lower middle income,1/11/22,49.66
Trinidad and Tobago,1/11/22,47.21
Kazakhstan,1/11/22,46.49
Lebanon,1/11/22,43.2
Pakistan,1/11/22,42.58
Albania,1/11/22,41.63
Ukraine,1/11/22,37.47
Georgia,1/11/22,37.34
Guatemala,1/11/22,37.32
Saint Lucia,1/11/22,31.22
Jamaica,1/11/22,25.61
Zimbabwe,1/11/22,25.59
Kyrgyzstan,1/11/22,18.91
Guinea,1/11/22,17.82
Africa,1/11/22,14.35
Afghanistan,1/11/22,10.65
Sierra Leone,1/11/22,8.68
Low income,1/11/22,8.26
Ethiopia,1/11/22,7.59
Malawi,1/11/22,7.35
Papua New Guinea,1/11/22,2.85
Cuba,1/10/22,93.61
Chile,1/10/22,88.88
Singapore,1/10/22,87.77
Argentina,1/10/22,86.58
South Korea,1/10/22,85.88
Cambodia,1/10/22,85.21
Malta,1/10/22,84.62
Spain,1/10/22,84.36
Italy,1/10/22,83.04
Canada,1/10/22,83.03
Bahrain,1/10/22,82.04
Japan,1/10/22,81.7
Denmark,1/10/22,81.22
Uruguay,1/10/22,80.82
Scotland,1/10/22,80.38
Aruba,1/10/22,79.91
Ecuador,1/10/22,79.84
Vietnam,1/10/22,79.84
Norway,1/10/22,79.15
France,1/10/22,78.98
Ireland,1/10/22,78.97
Wales,1/10/22,78.79
Australia,1/10/22,78.61
Kuwait,1/10/22,78.37
Faeroe Islands,1/10/22,78.17
Upper middle income,1/10/22,77.6
Brazil,1/10/22,77.43
England,1/10/22,77.27
United Kingdom,1/10/22,77.02
Belgium,1/10/22,76.97
Malaysia,1/10/22,76.77
New Zealand,1/10/22,76.74
Costa Rica,1/10/22,76.54
South America,1/10/22,76.32
Maldives,1/10/22,75.8
Germany,1/10/22,75.7
High income,1/10/22,75.46
Austria,1/10/22,75.41
Colombia,1/10/22,74.88
United States,1/10/22,74.45
Northern Ireland,1/10/22,74.19
Peru,1/10/22,73.69
Sri Lanka,1/10/22,73.33
Greece,1/10/22,72.72
Cyprus,1/10/22,72.66
European Union,1/10/22,72.45
Luxembourg,1/10/22,72.4
Thailand,1/10/22,72.06
Latvia,1/10/22,71.45
Macao,1/10/22,71.45
Israel,1/10/22,70.41
Lithuania,1/10/22,70.16
Saudi Arabia,1/10/22,69.04
Switzerland,1/10/22,68.62
North America,1/10/22,68.29
Asia,1/10/22,67.67
Hong Kong,1/10/22,67.19
Liechtenstein,1/10/22,67.06
Turkey,1/10/22,66.94
Mongolia,1/10/22,66.71
Europe,1/10/22,66.01
Morocco,1/10/22,65.93
Czechia,1/10/22,65.46
Mexico,1/10/22,64.65
Estonia,1/10/22,63.85
Hungary,1/10/22,63.15
India,1/10/22,62.76
Dominican Republic,1/10/22,61.94
Indonesia,1/10/22,61.9
Slovenia,1/10/22,59.17
Oceania,1/10/22,58.77
World,1/10/22,58.44
Tunisia,1/10/22,56.69
Croatia,1/10/22,56.34
Barbados,1/10/22,55.7
Curacao,1/10/22,55.08
Poland,1/10/22,54.87
Russia,1/10/22,51.32
Bolivia,1/10/22,50.81
Azerbaijan,1/10/22,50.05
Nepal,1/10/22,49.92
Kosovo,1/10/22,49.64
Lower middle income,1/10/22,49.43
Bangladesh,1/10/22,45.71
Lebanon,1/10/22,43.1
Albania,1/10/22,41.51
Ukraine,1/10/22,37.38
Guatemala,1/10/22,37.24
Georgia,1/10/22,37.16
Mozambique,1/10/22,29.25
Eswatini,1/10/22,28.44
Libya,1/10/22,28.38
Zimbabwe,1/10/22,25.57
Jamaica,1/10/22,25.56
Uganda,1/10/22,22.03
Iraq,1/10/22,19.63
Kyrgyzstan,1/10/22,18.86
Guinea,1/10/22,17.82
Africa,1/10/22,14.35
Low income,1/10/22,8.25
Ethiopia,1/10/22,7.59
Niger,1/10/22,5.44
Cuba,1/9/22,93.54
Chile,1/9/22,88.78
Singapore,1/9/22,87.69
Argentina,1/9/22,86.41
South Korea,1/9/22,85.83
Cambodia,1/9/22,85.18
Malta,1/9/22,84.47
Spain,1/9/22,84.28
Canada,1/9/22,82.95
Italy,1/9/22,82.92
Bahrain,1/9/22,82
Japan,1/9/22,81.7
Isle of Man,1/9/22,81.58
Denmark,1/9/22,81.19
Uruguay,1/9/22,80.66
Scotland,1/9/22,80.36
Vietnam,1/9/22,79.74
Ecuador,1/9/22,79.68
Norway,1/9/22,79.13
France,1/9/22,78.93
Ireland,1/9/22,78.84
Wales,1/9/22,78.77
Australia,1/9/22,78.43
Kuwait,1/9/22,78.34
Faeroe Islands,1/9/22,78.15
Upper middle income,1/9/22,77.58
Brazil,1/9/22,77.38
England,1/9/22,77.24
United Kingdom,1/9/22,76.99
Belgium,1/9/22,76.96
Malaysia,1/9/22,76.76
New Zealand,1/9/22,76.71
South America,1/9/22,76.24
Maldives,1/9/22,75.79
Germany,1/9/22,75.65
High income,1/9/22,75.4
Austria,1/9/22,75.36
Colombia,1/9/22,74.83
United States,1/9/22,74.35
Northern Ireland,1/9/22,74.17
Jersey,1/9/22,73.8
Peru,1/9/22,73.61
Sri Lanka,1/9/22,73.32
Sweden,1/9/22,72.65
Greece,1/9/22,72.62
San Marino,1/9/22,72.48
European Union,1/9/22,72.4
Luxembourg,1/9/22,72.32
Thailand,1/9/22,71.99
Latvia,1/9/22,71.4
Macao,1/9/22,71.35
Panama,1/9/22,70.99
Israel,1/9/22,70.33
Lithuania,1/9/22,70.1
Saudi Arabia,1/9/22,68.99
Switzerland,1/9/22,68.58
North America,1/9/22,68.22
Iran,1/9/22,67.83
Asia,1/9/22,67.3
Hong Kong,1/9/22,66.92
Turkey,1/9/22,66.91
Mongolia,1/9/22,66.71
Europe,1/9/22,65.96
Czechia,1/9/22,65.41
Mexico,1/9/22,64.63
Estonia,1/9/22,63.82
Hungary,1/9/22,63.13
India,1/9/22,62.53
Dominican Republic,1/9/22,61.93
Indonesia,1/9/22,61.76
Slovenia,1/9/22,59.15
Oceania,1/9/22,58.66
World,1/9/22,58.17
Tunisia,1/9/22,56.64
Barbados,1/9/22,55.66
Curacao,1/9/22,55.01
Poland,1/9/22,54.81
Belarus,1/9/22,52.35
Russia,1/9/22,51.3
Bolivia,1/9/22,50.32
Azerbaijan,1/9/22,50.05
Lower middle income,1/9/22,48.93
Serbia,1/9/22,48.27
Trinidad and Tobago,1/9/22,47.1
Montenegro,1/9/22,45.41
Slovakia,1/9/22,45.33
Lebanon,1/9/22,42.79
Myanmar,1/9/22,38.79
Ukraine,1/9/22,37.31
Guatemala,1/9/22,37.14
Armenia,1/9/22,34.27
South Africa,1/9/22,32.01
Saint Lucia,1/9/22,31.17
Zimbabwe,1/9/22,25.54
Kyrgyzstan,1/9/22,18.8
Algeria,1/9/22,16.14
Africa,1/9/22,14.09
Afghanistan,1/9/22,10.6
Low income,1/9/22,7.76
Malawi,1/9/22,7.34
Nigeria,1/9/22,5.37
South Sudan,1/9/22,2.25
Cuba,1/8/22,93.53
Chile,1/8/22,88.78
Singapore,1/8/22,87.52
Argentina,1/8/22,86.36
South Korea,1/8/22,85.83
Cambodia,1/8/22,85.17
Malta,1/8/22,84.36
Canada,1/8/22,82.91
Italy,1/8/22,82.81
Bahrain,1/8/22,81.96
Japan,1/8/22,81.69
Denmark,1/8/22,81.16
Uruguay,1/8/22,80.66
Scotland,1/8/22,80.34
Vietnam,1/8/22,79.69
Ecuador,1/8/22,79.64
Norway,1/8/22,79.13
France,1/8/22,78.91
Wales,1/8/22,78.74
Ireland,1/8/22,78.7
Australia,1/8/22,78.41
Upper middle income,1/8/22,77.56
England,1/8/22,77.2
United Kingdom,1/8/22,76.96
Belgium,1/8/22,76.9
Malaysia,1/8/22,76.76
New Zealand,1/8/22,76.7
South America,1/8/22,76.19
Maldives,1/8/22,75.78
Germany,1/8/22,75.63
High income,1/8/22,75.35
Austria,1/8/22,75.34
Colombia,1/8/22,74.78
United States,1/8/22,74.3
Peru,1/8/22,73.56
Sri Lanka,1/8/22,73.3
Greece,1/8/22,72.59
Cyprus,1/8/22,72.58
European Union,1/8/22,72.34
Luxembourg,1/8/22,72.32
Thailand,1/8/22,71.98
Latvia,1/8/22,71.39
Israel,1/8/22,70.23
Lithuania,1/8/22,70.1
Saudi Arabia,1/8/22,68.95
Switzerland,1/8/22,68.56
North America,1/8/22,68.18
Asia,1/8/22,67.16
Liechtenstein,1/8/22,67.04
Turkey,1/8/22,66.89
Hong Kong,1/8/22,66.78
Mongolia,1/8/22,66.71
Europe,1/8/22,65.9
Czechia,1/8/22,65.4
Mexico,1/8/22,64.59
Estonia,1/8/22,63.81
India,1/8/22,62.16
Dominican Republic,1/8/22,61.93
Indonesia,1/8/22,61.55
Slovenia,1/8/22,59.15
Oceania,1/8/22,58.65
World,1/8/22,58.06
Tunisia,1/8/22,56.6
Croatia,1/8/22,56.29
Barbados,1/8/22,55.64
Curacao,1/8/22,55.01
Poland,1/8/22,54.8
Russia,1/8/22,51.24
Bolivia,1/8/22,50.24
Azerbaijan,1/8/22,50.03
Lower middle income,1/8/22,48.71
Trinidad and Tobago,1/8/22,47.06
Montenegro,1/8/22,45.4
Lebanon,1/8/22,42.66
Suriname,1/8/22,42.48
Albania,1/8/22,41.35
Ukraine,1/8/22,37.3
Guatemala,1/8/22,37.09
Georgia,1/8/22,36.95
Egypt,1/8/22,32.36
Eswatini,1/8/22,28.41
Jamaica,1/8/22,25.54
Zimbabwe,1/8/22,25.52
Angola,1/8/22,22.97
Iraq,1/8/22,19.48
Kyrgyzstan,1/8/22,18.76
Equatorial Guinea,1/8/22,14.92
Africa,1/8/22,14
Low income,1/8/22,7.73
Malawi,1/8/22,7.34
Gibraltar,1/7/22,126.08
Cuba,1/7/22,93.49
Portugal,1/7/22,93.44
Brunei,1/7/22,90.46
Chile,1/7/22,88.77
China,1/7/22,88.52
Singapore,1/7/22,87.33
Argentina,1/7/22,86.27
South Korea,1/7/22,85.8
Cayman Islands,1/7/22,85.76
Cambodia,1/7/22,85.17
Malta,1/7/22,84.31
Canada,1/7/22,82.87
Italy,1/7/22,82.67
Bahrain,1/7/22,81.93
Japan,1/7/22,81.67
Isle of Man,1/7/22,81.47
Denmark,1/7/22,81.13
Uruguay,1/7/22,80.66
Scotland,1/7/22,80.32
Aruba,1/7/22,79.85
Ecuador,1/7/22,79.6
Norway,1/7/22,79.12
France,1/7/22,78.84
Wales,1/7/22,78.71
Taiwan,1/7/22,78.54
Ireland,1/7/22,78.5
Australia,1/7/22,78.38
Upper middle income,1/7/22,77.54
England,1/7/22,77.15
United Kingdom,1/7/22,76.91
Belgium,1/7/22,76.82
Malaysia,1/7/22,76.75
New Zealand,1/7/22,76.69
South America,1/7/22,76.13
Germany,1/7/22,75.58
High income,1/7/22,75.3
Austria,1/7/22,75.29
United States,1/7/22,74.22
Northern Ireland,1/7/22,74.12
Peru,1/7/22,73.48
Sri Lanka,1/7/22,73.28
Greece,1/7/22,72.47
European Union,1/7/22,72.28
Luxembourg,1/7/22,72.24
Thailand,1/7/22,71.97
Netherlands,1/7/22,71.91
Latvia,1/7/22,71.36
Macao,1/7/22,71.22
Nicaragua,1/7/22,71.12
Israel,1/7/22,70.2
Lithuania,1/7/22,70.08
Saudi Arabia,1/7/22,68.93
Switzerland,1/7/22,68.49
North America,1/7/22,68.1
Asia,1/7/22,67.11
Turkey,1/7/22,66.87
Mongolia,1/7/22,66.7
Liechtenstein,1/7/22,66.67
Hong Kong,1/7/22,66.56
Europe,1/7/22,65.85
Czechia,1/7/22,65.38
Estonia,1/7/22,63.79
India,1/7/22,62.07
Dominican Republic,1/7/22,61.92
Sint Maarten (Dutch part),1/7/22,61.66
Indonesia,1/7/22,61.28
British Virgin Islands,1/7/22,59.16
Slovenia,1/7/22,59.14
Oceania,1/7/22,58.63
Saint Kitts and Nevis,1/7/22,58.18
World,1/7/22,58
Belize,1/7/22,56.94
Tunisia,1/7/22,56.55
Croatia,1/7/22,56.26
Barbados,1/7/22,55.61
Curacao,1/7/22,54.86
Poland,1/7/22,54.74
Cape Verde,1/7/22,53.49
Paraguay,1/7/22,51.45
Russia,1/7/22,51.23
Azerbaijan,1/7/22,50
Bolivia,1/7/22,49.8
Lower middle income,1/7/22,48.62
Honduras,1/7/22,48.08
Trinidad and Tobago,1/7/22,46.96
Montenegro,1/7/22,45.39
Dominica,1/7/22,42.34
Pakistan,1/7/22,42.17
Lebanon,1/7/22,42.15
Guatemala,1/7/22,37.04
Montserrat,1/7/22,36.53
Grenada,1/7/22,33.29
South Africa,1/7/22,31.99
Saint Lucia,1/7/22,31.11
Zimbabwe,1/7/22,25.5
Jamaica,1/7/22,25.47
Liberia,1/7/22,19.22
Kyrgyzstan,1/7/22,18.75
Guinea-Bissau,1/7/22,18.58
Guinea,1/7/22,17.81
Togo,1/7/22,15.82
Africa,1/7/22,13.93
Low income,1/7/22,7.73
Ethiopia,1/7/22,7.59
Malawi,1/7/22,7.34
Mali,1/7/22,4.17
Cuba,1/6/22,93.41
Chile,1/6/22,88.68
Singapore,1/6/22,87.18
Argentina,1/6/22,86.07
South Korea,1/6/22,85.75
Cambodia,1/6/22,85.16
Malta,1/6/22,84.11
Spain,1/6/22,84.03
Canada,1/6/22,82.79
Italy,1/6/22,82.54
Bahrain,1/6/22,81.91
Japan,1/6/22,81.66
Isle of Man,1/6/22,81.42
Denmark,1/6/22,81.08
Uruguay,1/6/22,80.65
Scotland,1/6/22,80.29
Aruba,1/6/22,79.81
Vietnam,1/6/22,79.59
Ecuador,1/6/22,79.49
Norway,1/6/22,79.1
France,1/6/22,78.77
Wales,1/6/22,78.68
Taiwan,1/6/22,78.48
Ireland,1/6/22,78.4
Australia,1/6/22,78.32
Faeroe Islands,1/6/22,78.11
Iceland,1/6/22,77.53
Upper middle income,1/6/22,77.42
England,1/6/22,77.12
United Kingdom,1/6/22,76.87
Belgium,1/6/22,76.8
Malaysia,1/6/22,76.75
New Zealand,1/6/22,76.66
South America,1/6/22,76.08
Maldives,1/6/22,75.78
Germany,1/6/22,75.51
Austria,1/6/22,75.21
High income,1/6/22,75.21
Colombia,1/6/22,74.51
United States,1/6/22,74.1
Northern Ireland,1/6/22,74.09
Peru,1/6/22,73.39
Sri Lanka,1/6/22,73.27
Greece,1/6/22,72.36
European Union,1/6/22,72.17
Luxembourg,1/6/22,72.12
Thailand,1/6/22,71.88
Latvia,1/6/22,71.28
Macao,1/6/22,71.16
Israel,1/6/22,70.15
Lithuania,1/6/22,70
Saudi Arabia,1/6/22,68.91
Switzerland,1/6/22,68.45
North America,1/6/22,67.99
Asia,1/6/22,66.86
Turkey,1/6/22,66.83
Mongolia,1/6/22,66.69
Liechtenstein,1/6/22,66.66
Antigua and Barbuda,1/6/22,66.5
Hong Kong,1/6/22,66.28
Europe,1/6/22,65.75
Czechia,1/6/22,65.31
Mexico,1/6/22,64.43
Estonia,1/6/22,63.73
Hungary,1/6/22,62.99
Dominican Republic,1/6/22,61.9
India,1/6/22,61.47
Indonesia,1/6/22,60.98
Slovenia,1/6/22,59.11
Oceania,1/6/22,58.59
World,1/6/22,57.82
Tunisia,1/6/22,56.49
Croatia,1/6/22,56.21
Barbados,1/6/22,55.44
Curacao,1/6/22,54.82
Poland,1/6/22,54.67
Russia,1/6/22,51.05
Azerbaijan,1/6/22,49.97
Bolivia,1/6/22,49.37
Lower middle income,1/6/22,48.33
Trinidad and Tobago,1/6/22,46.85
Montenegro,1/6/22,45.38
Suriname,1/6/22,42.44
Pakistan,1/6/22,42.04
Lebanon,1/6/22,41.75
Ukraine,1/6/22,37.28
Guatemala,1/6/22,36.95
Georgia,1/6/22,36.86
Libya,1/6/22,27.7
Mozambique,1/6/22,27.27
Zimbabwe,1/6/22,25.45
Angola,1/6/22,21.93
Kyrgyzstan,1/6/22,18.74
Africa,1/6/22,13.9
Low income,1/6/22,7.69
Senegal,1/6/22,7.6
Ethiopia,1/6/22,7.59
Malawi,1/6/22,7.34
Nigeria,1/6/22,4.89
Cuba,1/5/22,93.33
Chile,1/5/22,88.59
Singapore,1/5/22,87.07
Argentina,1/5/22,85.86
South Korea,1/5/22,85.71
Cambodia,1/5/22,85.14
Malta,1/5/22,83.95
Canada,1/5/22,82.74
Italy,1/5/22,82.46
Bahrain,1/5/22,81.87
Japan,1/5/22,81.65
Isle of Man,1/5/22,81.4
Denmark,1/5/22,81.03
Uruguay,1/5/22,80.65
Scotland,1/5/22,80.26
Aruba,1/5/22,79.73
Vietnam,1/5/22,79.55
Ecuador,1/5/22,79.36
Norway,1/5/22,79.06
France,1/5/22,78.7
Wales,1/5/22,78.66
Taiwan,1/5/22,78.44
Ireland,1/5/22,78.36
Australia,1/5/22,78.27
Kuwait,1/5/22,78.27
Faeroe Islands,1/5/22,78.04
Upper middle income,1/5/22,77.4
Brazil,1/5/22,77.32
England,1/5/22,77.08
United Kingdom,1/5/22,76.84
Belgium,1/5/22,76.77
Malaysia,1/5/22,76.74
New Zealand,1/5/22,76.64
South America,1/5/22,76
Maldives,1/5/22,75.78
Germany,1/5/22,75.45
Austria,1/5/22,75.19
High income,1/5/22,75.15
Colombia,1/5/22,74.34
Northern Ireland,1/5/22,74.06
United States,1/5/22,73.99
Jersey,1/5/22,73.71
Peru,1/5/22,73.3
Sri Lanka,1/5/22,73.27
Greece,1/5/22,72.32
Bermuda,1/5/22,72.27
European Union,1/5/22,72.12
Luxembourg,1/5/22,72.01
Thailand,1/5/22,71.81
Latvia,1/5/22,71.22
Macao,1/5/22,71.12
Israel,1/5/22,70.04
Lithuania,1/5/22,69.93
Saudi Arabia,1/5/22,68.88
Switzerland,1/5/22,68.4
North America,1/5/22,67.92
Turkey,1/5/22,66.8
Mongolia,1/5/22,66.69
Asia,1/5/22,66.69
Liechtenstein,1/5/22,66.65
Hong Kong,1/5/22,66.04
Europe,1/5/22,65.71
Czechia,1/5/22,65.24
Mexico,1/5/22,64.4
Estonia,1/5/22,63.67
Hungary,1/5/22,62.93
Dominican Republic,1/5/22,61.88
India,1/5/22,61
Indonesia,1/5/22,60.7
Slovenia,1/5/22,59.07
Oceania,1/5/22,58.56
Saint Kitts and Nevis,1/5/22,58.05
World,1/5/22,57.7
Tunisia,1/5/22,56.41
Croatia,1/5/22,56.21
Barbados,1/5/22,55.42
Curacao,1/5/22,54.76
Poland,1/5/22,54.66
Azerbaijan,1/5/22,49.93
Bolivia,1/5/22,48.58
Lower middle income,1/5/22,48.08
Trinidad and Tobago,1/5/22,46.77
Kazakhstan,1/5/22,46.47
Montenegro,1/5/22,45.35
Suriname,1/5/22,42.39
Dominica,1/5/22,42.24
Pakistan,1/5/22,41.92
Lebanon,1/5/22,41.75
Albania,1/5/22,40.83
Bahamas,1/5/22,38.57
Ukraine,1/5/22,37.22
Guatemala,1/5/22,36.86
Georgia,1/5/22,36.74
Saint Lucia,1/5/22,31.05
Eswatini,1/5/22,28.18
Zimbabwe,1/5/22,25.42
Jamaica,1/5/22,25.31
Kyrgyzstan,1/5/22,18.72
Guinea,1/5/22,17.75
Africa,1/5/22,13.84
Low income,1/5/22,7.64
Ethiopia,1/5/22,7.59
Malawi,1/5/22,7.32
Mali,1/5/22,3.99
Madagascar,1/5/22,2.76
Democratic Republic of Congo,1/5/22,0.27
Cuba,1/4/22,93.25
Chile,1/4/22,88.5
Singapore,1/4/22,87.03
Argentina,1/4/22,85.67
South Korea,1/4/22,85.67
Cambodia,1/4/22,85.12
Spain,1/4/22,83.96
Malta,1/4/22,83.76
Canada,1/4/22,82.69
Italy,1/4/22,82.34
Bahrain,1/4/22,81.84
Japan,1/4/22,81.65
Isle of Man,1/4/22,81.39
Denmark,1/4/22,80.99
Uruguay,1/4/22,80.64
Scotland,1/4/22,80.23
Aruba,1/4/22,79.67
Ecuador,1/4/22,79.24
Norway,1/4/22,79.02
Wales,1/4/22,78.63
France,1/4/22,78.61
Taiwan,1/4/22,78.4
Ireland,1/4/22,78.31
Australia,1/4/22,78.22
Upper middle income,1/4/22,77.38
Iceland,1/4/22,77.34
Brazil,1/4/22,77.3
England,1/4/22,77.04
United Kingdom,1/4/22,76.8
Belgium,1/4/22,76.74
Malaysia,1/4/22,76.73
New Zealand,1/4/22,76.61
Cook Islands,1/4/22,75.96
South America,1/4/22,75.91
Maldives,1/4/22,75.77
Germany,1/4/22,75.37
Austria,1/4/22,75.12
High income,1/4/22,75.09
Colombia,1/4/22,74.2
United States,1/4/22,73.87
Northern Ireland,1/4/22,73.86
Sri Lanka,1/4/22,73.26
Peru,1/4/22,73.21
Greece,1/4/22,72.22
European Union,1/4/22,72.06
Luxembourg,1/4/22,71.91
Thailand,1/4/22,71.75
Greenland,1/4/22,71.63
Fiji,1/4/22,71.29
Latvia,1/4/22,71.14
Macao,1/4/22,71.08
El Salvador,1/4/22,70.81
Israel,1/4/22,69.95
Lithuania,1/4/22,69.86
Tonga,1/4/22,69.14
Saudi Arabia,1/4/22,68.84
Switzerland,1/4/22,68.34
North America,1/4/22,67.84
Mongolia,1/4/22,66.69
Liechtenstein,1/4/22,66.64
Asia,1/4/22,66.52
Morocco,1/4/22,65.86
Hong Kong,1/4/22,65.79
Europe,1/4/22,65.66
Czechia,1/4/22,65.19
Mexico,1/4/22,64.38
Estonia,1/4/22,63.62
New Caledonia,1/4/22,63.32
Hungary,1/4/22,62.91
Dominican Republic,1/4/22,61.86
India,1/4/22,60.53
Indonesia,1/4/22,60.49
Slovenia,1/4/22,59.04
Oceania,1/4/22,58.53
World,1/4/22,57.58
French Polynesia,1/4/22,56.73
Tunisia,1/4/22,56.29
Croatia,1/4/22,56.15
